city,year,type,n
Las Vegas,1979,Total Violent Crime,990.068472025168
"Long Beach, Calif.",1979,Total Violent Crime,1142.74912790198
Los Angeles,1979,Total Violent Crime,1514.69645304273
"Los Angeles County, Calif.",1979,Total Violent Crime,1264.33327776949
"Louisville, Ky.",1979,Total Violent Crime,NA
"Memphis, Tenn.",1979,Total Violent Crime,848.103678292358
"Mesa, Ariz.",1979,Total Violent Crime,653.690973003861
Miami,1979,Total Violent Crime,1880.99437768713
"Miami-Dade County, Fla.",1979,Total Violent Crime,1403.24363574109
Milwaukee,1979,Total Violent Crime,471.091944312251
Minneapolis,1979,Total Violent Crime,1071.45114441095
"Montgomery County, Md.",1979,Total Violent Crime,237.395649213017
"Nashville, Tenn.",1979,Total Violent Crime,731.477377301476
"Nassau County, N.Y.",1979,Total Violent Crime,113.681788665826
National,1979,Total Violent Crime,548.9
New Orleans,1979,Total Violent Crime,1566.79397381513
New York City,1979,Total Violent Crime,1862.07876310585
"Newark, N.J.",1979,Total Violent Crime,3054.60740046482
"Oakland, Calif.",1979,Total Violent Crime,1759.28236133757
Oklahoma City,1979,Total Violent Crime,999.611903038694
"Omaha, Neb.",1979,Total Violent Crime,544.655249698914
"Orlando, Fla.",1979,Total Violent Crime,1420.40077356705
Philadelphia,1979,Total Violent Crime,827.202953507746
Phoenix,1979,Total Violent Crime,807.974202746806
Pittsburgh,1979,Total Violent Crime,1058.01682722396
"Portland, Ore.",1979,Total Violent Crime,1121.21025767173
"Prince George's County, Md.",1979,Total Violent Crime,811.061027963554
"Raleigh, N.C.",1979,Total Violent Crime,573.119007734255
"Sacramento, Calif.",1979,Total Violent Crime,1170.98067808968
Salt Lake City,1979,Total Violent Crime,621.014601335265
San Antonio,1979,Total Violent Crime,493.042171508241
San Diego,1979,Total Violent Crime,655.47519540058
San Francisco,1979,Total Violent Crime,1674.96996249863
San Jose,1979,Total Violent Crime,534.882221777773
Seattle,1979,Total Violent Crime,931.191165474798
"St. Louis, Mo.",1979,Total Violent Crime,2131.56171419188
"Suffolk County, N.Y.",1979,Total Violent Crime,259.295570360192
"Tampa, Fla.",1979,Total Violent Crime,1517.29959632472
"Tucson, Ariz.",1979,Total Violent Crime,642.133313078759
"Tulsa, Okla.",1979,Total Violent Crime,677.624410793048
"Virginia Beach, Va.",1979,Total Violent Crime,216.93927337623
"Washington, D.C.",1979,Total Violent Crime,1608.68902439024
"Wichita, Kan.",1979,Total Violent Crime,532.243501401891
"Albuquerque, N.M.",1980,Total Violent Crime,854.526710802008
"Arlington, Texas",1980,Total Violent Crime,500.024815127302
Atlanta,1980,Total Violent Crime,2621.46309595383
"Aurora, Colo.",1980,Total Violent Crime,807.588041630595
"Austin, Texas",1980,Total Violent Crime,501.710708306035
Baltimore,1980,Total Violent Crime,2112.15544118059
"Baltimore County, Md.",1980,Total Violent Crime,886.484262371092
Boston,1980,Total Violent Crime,2217.98777778173
"Buffalo, N.Y.",1980,Total Violent Crime,1072.51583730665
"Charlotte-Mecklenburg, N.C.",1980,Total Violent Crime,887.72627528202
Chicago,1980,Total Violent Crime,959.610824870857
Cincinnati,1980,Total Violent Crime,1025.80432978174
Cleveland,1980,Total Violent Crime,2002.24567236583
"Columbus, Ohio",1980,Total Violent Crime,912.136212341043
